quote_number,quote_revision,item_id,workflow_status,part_number,revision,description,type,material,process,is_fully_configured,part_uuid,export_controlled,quantity,unit_price,total_price,total_price_with_add_ons,lead_time
7926,,7440178,not_started,0011-03503,01,"ASSY, DOCKING PANEL, SKINS",manufactured,,,False,bdcf2b91-188f-43a2-8392-8b212712e36a,False,5,0.0,0.0,0.0,0
7926,,7440178,not_started,0011-03503,01,"ASSY, DOCKING PANEL, SKINS",manufactured,,,False,bdcf2b91-188f-43a2-8392-8b212712e36a,False,10,0.0,0.0,0.0,0
7926,,7440178,not_started,0011-03503,01,"ASSY, DOCKING PANEL, SKINS",manufactured,,,False,bdcf2b91-188f-43a2-8392-8b212712e36a,False,25,0.0,0.0,0.0,0
7926,,7440178,not_started,0011-03503,01,"ASSY, DOCKING PANEL, SKINS",manufactured,,,False,bdcf2b91-188f-43a2-8392-8b212712e36a,False,50,0.0,0.0,0.0,0
7926,,7440178,not_started,0011-03503,01,"ASSY, DOCKING PANEL, SKINS",manufactured,,,False,bdcf2b91-188f-43a2-8392-8b212712e36a,False,75,0.0,0.0,0.0,0
7926,,7440178,not_started,0011-03503,01,"ASSY, DOCKING PANEL, SKINS",manufactured,,,False,bdcf2b91-188f-43a2-8392-8b212712e36a,False,100,0.0,0.0,0.0,0
7927,,7440223,not_started,0010-11382,05,"ASSEMBLY, OUTER BI-FOLD DOOR, CENTURA",manufactured,,,False,8f0994c2-fa43-481c-a140-33b3eba50d33,False,4,0.0,0.0,0.0,0
7928,,7440266,not_started,CHCP-02115,A,"FLAT BACKING PLATE, 8IN TARGET, ONYX",assembled,,,False,51acf2ac-71ee-4da5-9f7a-8005c03f4775,False,1,0.0,0.0,0.0,0
7928,,7440266,not_started,CHCP-02115,A,"FLAT BACKING PLATE, 8IN TARGET, ONYX",assembled,,,False,51acf2ac-71ee-4da5-9f7a-8005c03f4775,False,5,0.0,0.0,0.0,0
7928,,7440266,not_started,CHCP-02115,A,"FLAT BACKING PLATE, 8IN TARGET, ONYX",assembled,,,False,51acf2ac-71ee-4da5-9f7a-8005c03f4775,False,10,0.0,0.0,0.0,0
7929,,7440387,not_started,0011-09880,02,"COMPPRESION RING ASSY, PROCESS RING INST",manufactured,,,False,d8f2c6e2-f90d-456f-adcb-eace87235a58,False,10,0.0,0.0,0.0,0
7930,,7440440,not_started,0010-48281,04,"ASSEMBLY, MOBILE PLATFORM 27 INCH WIDE",manufactured,,,False,126fed8f-66c5-4a4f-8dc3-42b358384ec7,False,35,0.0,0.0,0.0,0
7931,,7440730,not_started,E170159330,A,"E170159330-BLOCK, VALVE, RING GAS",manufactured,,,False,93a8527c-cceb-40e0-916b-c7bc1f4d716e,False,26,0.0,0.0,0.0,0
7933,,7448785,not_started,449W7510-2033B,A,"ALUMINUM TRIM - ONE INCH
ENTRA",manufactured,,,False,4f793bc5-421f-4995-9593-b409d5535799,True,1,0.0,0.0,0.0,0
7933,,7448785,not_started,449W7510-2033B,A,"ALUMINUM TRIM - ONE INCH
ENTRA",manufactured,,,False,4f793bc5-421f-4995-9593-b409d5535799,True,2,0.0,0.0,0.0,0
7933,,7448785,not_started,449W7510-2033B,A,"ALUMINUM TRIM - ONE INCH
ENTRA",manufactured,,,False,4f793bc5-421f-4995-9593-b409d5535799,True,3,0.0,0.0,0.0,0
7933,,7448785,not_started,449W7510-2033B,A,"ALUMINUM TRIM - ONE INCH
ENTRA",manufactured,,,False,4f793bc5-421f-4995-9593-b409d5535799,True,4,0.0,0.0,0.0,0
7933,,7448785,not_started,449W7510-2033B,A,"ALUMINUM TRIM - ONE INCH
ENTRA",manufactured,,,False,4f793bc5-421f-4995-9593-b409d5535799,True,5,0.0,0.0,0.0,0
7933,,7448795,not_started,449W7510-2033C,A,"ALUMINUM TRIM - ONE INCH ENTRANCE DOOR, HINGE SIDE",manufactured,,,False,10a0559f-2d5d-4dd7-8bae-6310baa2cfa2,True,4,0.0,0.0,0.0,0
7934,,7449032,not_started,356T0101-33,B,"DRAIN MAST ASSY, LEFT SIDE",manufactured,,,False,438dc7e0-3f5a-40db-b2ef-853f40930032,True,88,0.0,0.0,0.0,0
7934,,7449033,not_started,356T0101-34,B,"DRAIN MAST ASSY, RIGHT SIDE",manufactured,,,False,4529b39f-38d3-4d1a-a71f-a1ad278a64c2,True,88,0.0,0.0,0.0,0
7935,,7449406,not_started,449-375-224-101,A,CHASSIS ASSEMBLY,manufactured,Aluminum 5052-H32,SM - Assy,True,cbbaa70d-b0c4-4215-b42f-da1275131afc,True,15,1152.0,17280.0,17940.0,70
7935,,7449407,not_started,449-375-225-101,A,CHASSIS ASSEMBLY,manufactured,Aluminum 5052-H32,SM - Assy,True,4b49609c-74b7-4bae-bb0c-2ec252a3daa0,True,22,1152.0,25344.0,26004.0,70
7935,,7449409,not_started,449-075-211-105,C,PLATE ASSY,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,d47c7897-1b0b-4da3-b978-b11bd07d304a,True,12,229.0,2748.0,2748.0,70
7935,,7449411,not_started,449-075-211-103,C,PLATE ASSY,manufactured,Aluminum 2024-T3,SM - Piece (combo),True,1a2a5479-f8cd-4fd1-8028-fbd839fbff84,True,12,1199.0,14388.0,14388.0,70
7935,,7449413,not_started,449-075-368-101,B,COVER,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,f707f5f3-76d4-4640-b67b-427d12bb4a85,True,12,603.0,7236.0,7666.0,60
7935,,7449416,not_started,449-075-206-101,A,PLATE ASSEMBLY,manufactured,Aluminum 6013-T4,SM - Piece,True,ce26f1b7-854a-4c7f-ac41-df3f9b079c04,True,11,981.0,10791.0,10791.0,60
7935,,7449420,not_started,449-075-206-103,A,PLATE ASSEMBLY,manufactured,Aluminum 6013-T4,SM - Piece,True,ea675bb9-8c7b-4ffa-9fbf-e8f8643f3987,True,12,928.0,11136.0,11136.0,60
7935,,7449421,not_started,449-075-249-117,C,PLATE,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,3071ac6b-1ef0-4cf7-a1b8-7d6dcf779192,True,12,641.0,7692.0,8122.0,60
7935,,7449424,not_started,449-075-249-103,B,PLATE ASSEMBLY,manufactured,Aluminum 6013-T4,SM - Piece,True,68b0b2d7-2baa-4a10-9695-a714d65f2d0e,True,12,164.0,1968.0,2288.0,70
7935,,7449425,not_started,449-075-367-101,-,PLATE,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,ff0af8f0-126a-436d-ade6-9767522ec34f,True,12,644.0,7728.0,8158.0,60
7935,,7449427,not_started,449-075-359-101,-,COVER,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,3a43e616-1e5f-42ba-82f7-5fd4a5b61d3d,True,12,519.0,6228.0,6228.0,60
7935,,7449127,not_started,449-375-365-101_MP0001,,Chassis,manufactured,,,False,40d77e78-a5a7-4b10-81a6-fc9c4e7e53de,False,12,0.0,0.0,0.0,0
7935,,7449477,not_started,449-375-358-101,A,CHASSIS ASSEMBLY,manufactured,Aluminum 5052-H32,SM - Assy,True,b6d3c15c-a57e-482b-a879-bba8a9734c4f,True,12,853.0,10236.0,10896.0,70
7935,,7449480,not_started,449-375-361-101,A,CHASSIS ASSEMBLY,manufactured,Aluminum 5052,Aerospace Assembly,True,8b4ceb28-a5f2-4d29-a5fc-e1d7b2a298c2,True,2,3784.0,7568.0,7568.0,70
7935,,7449482,not_started,449-075-355-102,_,COVER,manufactured,Aluminum 6013-T4,SM - Piece,True,2b48e0fa-1bd0-4cfc-92d0-3cbd02107f1d,True,23,150.0,3450.0,3770.0,60
7935,,7449484,not_started,449-075-355-101,-,COVER,manufactured,Aluminum 6013-T4,SM - Piece (combo),True,8e206272-1493-49c9-8bc9-db24f28b8dc0,True,24,334.0,8016.0,8446.0,60
