ID,ModelID,Name,IsActive,Type,CrossFilteringBehavior,JoinOnDateBehavior,RelyOnReferentialIntegrity,FromTableID,FromColumnID,FromCardinality,ToTableID,ToColumnID,ToCardinality,State,RelationshipStorageID,RelationshipStorage2ID,ModifiedTime,RefreshedTime,SecurityFilteringBehavior
399,1,"ea5302bd-8dcc-418a-b9bc-72061032d577",True,1,1,2,False,279,1755,2,288,1756,1,1,13604,,5/13/2025 4:23:53 PM,5/13/2025 4:23:53 PM,1
400,1,"f145fbcd-5d60-4f7a-b67f-2da8fec8212b",True,1,1,2,False,279,1769,2,291,1770,1,1,13606,,5/13/2025 4:23:53 PM,5/13/2025 4:23:53 PM,1
401,1,"442a0368-ee29-4778-a85d-a33886382fe7",True,1,1,2,False,279,1779,2,294,1780,1,1,13608,,5/13/2025 4:23:53 PM,5/13/2025 4:23:53 PM,1
402,1,"c9768c79-1ac1-4b60-936e-509a04c27157",True,1,1,2,False,279,1822,2,297,1823,1,1,13610,,5/13/2025 4:23:53 PM,5/13/2025 4:23:53 PM,1
403,1,"9e27077e-2c4f-46bc-a373-813f258aa474",True,1,1,2,False,279,1836,2,300,1837,1,1,13612,,5/13/2025 4:23:53 PM,5/13/2025 4:23:53 PM,1
404,1,"d96bec23-7e5f-4589-8689-6588a19ff9b6",True,1,1,2,False,279,1850,2,303,1851,1,1,13614,,5/13/2025 4:23:53 PM,5/13/2025 4:23:53 PM,1
405,1,"9c73acdb-54e8-4d31-acf9-f57acdcfc54f",True,1,1,2,False,279,1858,2,306,1859,1,1,13616,,5/13/2025 4:23:53 PM,5/13/2025 4:23:53 PM,1
406,1,"96e10e0e-569c-458d-b6fa-31dd613f7247",True,1,1,2,False,279,1871,2,309,1872,1,1,13618,,5/13/2025 4:23:53 PM,5/13/2025 4:23:53 PM,1
407,1,"454f2884-9ae2-473a-9636-600e189c41ff",True,1,1,2,False,279,1886,2,312,1887,1,1,13620,,5/13/2025 4:23:53 PM,5/13/2025 4:23:53 PM,1
408,1,"20146167-ca66-4237-a0c5-9b16aa4a20f7",True,1,1,2,False,279,1894,2,315,1895,1,1,13622,,5/13/2025 4:23:53 PM,5/13/2025 4:23:53 PM,1
56991,1,"3324c4e7-82da-b36b-861a-777eef0e4e39",True,1,1,1,False,105,854,2,120,944,1,1,56992,,5/13/2025 7:31:25 PM,5/13/2025 7:31:25 PM,1
68376,1,"b422fd3d-308b-4044-fd96-0341aa84a88d",True,1,1,1,False,105,56547,2,279,62695,1,1,68377,,5/13/2025 4:27:14 PM,5/13/2025 4:27:14 PM,1
68393,1,"63a77cd2-408d-dbed-cd98-0bc1cec06b69",True,1,1,1,False,168,56601,2,279,62695,1,1,68394,,5/13/2025 4:28:46 PM,5/13/2025 4:28:46 PM,1
68410,1,"eaa83242-06a3-6808-29b6-0561f9399f70",True,1,1,1,False,60,599,2,15,409,1,1,68411,,5/13/2025 4:54:16 PM,5/13/2025 4:54:16 PM,1
68755,1,"b34f6249-22fc-4c99-80f3-9657bd003c3d",True,1,1,2,False,60,68774,2,68737,68775,1,1,69765,,5/13/2025 4:54:17 PM,5/13/2025 4:54:17 PM,1
68756,1,"efdd0887-e8d8-434d-abb0-2d6bc3f6448a",True,1,1,2,False,60,68839,2,68740,68840,1,1,69767,,5/13/2025 4:54:16 PM,5/13/2025 4:54:16 PM,1
68757,1,"655108a4-7142-4c51-be00-3683b4044e2f",True,1,1,2,False,60,68847,2,68743,68848,1,1,69769,,5/13/2025 4:54:16 PM,5/13/2025 4:54:16 PM,1
68758,1,"84017c50-87fb-46e9-b050-4a609bd4aa0d",True,1,1,2,False,60,68855,2,68746,68856,1,1,69771,,5/13/2025 4:54:16 PM,5/13/2025 4:54:16 PM,1
68759,1,"ccae25ad-db6a-498f-ba66-4ccff9b3f733",True,1,1,2,False,60,68863,2,68749,68864,1,1,69773,,5/13/2025 4:54:16 PM,5/13/2025 4:54:16 PM,1
68760,1,"f2f29efd-9163-40f0-bf7e-d48867fca242",True,1,1,2,False,60,68872,2,68752,68873,1,1,69775,,5/13/2025 4:54:16 PM,5/13/2025 4:54:16 PM,1
73430,1,"14421194-febe-c36e-54bd-4e28b5b8c3f4",True,1,1,1,False,81,68537,2,60,68430,1,1,73431,,5/13/2025 6:33:58 PM,5/13/2025 6:33:58 PM,1
73450,1,"e68dcc70-83bf-a895-7d90-490679fe1b7f",True,1,1,1,False,156,1088,2,168,1140,1,1,73451,,5/13/2025 6:34:48 PM,5/13/2025 6:34:48 PM,1
73467,1,"7a12942e-8124-b6ee-fd8f-b419c94e26ee",False,1,1,1,False,15,579,2,120,944,1,1,73468,,5/13/2025 7:31:25 PM,5/13/2025 7:31:25 PM,1
73500,1,"9d48c470-651a-ccdc-6b17-d1aed01afa33",True,1,1,1,False,60,56409,2,279,62695,1,1,73501,,5/13/2025 6:59:43 PM,5/13/2025 6:59:43 PM,1
113906,1,"29e3314d-79c3-461e-80c2-4bf9fabbaf0e",True,1,1,2,False,113876,113915,2,113879,113916,1,1,114824,,5/20/2025 6:22:40 PM,5/20/2025 6:22:40 PM,1
113907,1,"d3c392f2-a2f9-48e9-be41-2177e8a23e75",True,1,1,2,False,113876,113923,2,113882,113924,1,1,114826,,5/20/2025 6:22:40 PM,5/20/2025 6:22:40 PM,1
113908,1,"1bf0445f-5395-4a3c-b1e9-da1d561a7289",True,1,1,2,False,113876,113931,2,113885,113932,1,1,114828,,5/20/2025 6:22:40 PM,5/20/2025 6:22:40 PM,1
113909,1,"20056c79-d3b5-42f5-bf4d-7503e56cbb35",True,1,1,2,False,113876,113939,2,113888,113940,1,1,114830,,5/20/2025 6:22:40 PM,5/20/2025 6:22:40 PM,1
113910,1,"5e2b02d2-9187-4532-8172-3e3800fc9d69",True,1,1,2,False,113894,113978,2,113897,113979,1,1,114832,,5/20/2025 6:22:40 PM,5/20/2025 6:22:40 PM,1
113911,1,"88e16a17-b37c-4a37-b642-3297b409fa07",True,1,1,2,False,113894,113987,2,113900,113988,1,1,114834,,5/20/2025 6:22:40 PM,5/20/2025 6:22:40 PM,1
117625,1,"AutoDetected_c7e983bd-269d-4c26-bd31-17a1fb963b00",True,1,1,1,False,113903,113999,2,113894,113974,1,1,117626,,5/20/2025 6:22:42 PM,5/20/2025 6:22:42 PM,1
117691,1,"690bdaba-1fa0-cce9-12c2-38a8007801ad",False,1,1,1,False,81,724,2,15,409,1,1,117702,,5/20/2025 6:23:00 PM,5/20/2025 6:23:00 PM,1
