quote_number,quote_revision,quote_status,quote_due_date,quote_created,item_id,part_number,revision,description,quantity,unit_price,total_price,lead_time,material,process,is_fully_configured,part_uuid,export_controlled
7450,,expired,2025-04-16T17:00:00+00:00,2025-04-07T18:44:11.878682+00:00,6846973,,,,,,,,,,,,True
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6877611,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6877764,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6877983,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6847042,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6879099,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6880879,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6881063,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6847046,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6847047,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6881724,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6882182,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6847050,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6882859,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6847189,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6883595,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6883746,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6884560,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6847193,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6847194,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6847195,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6885056,,,,,,,,,,,,False
7451,,outstanding,2025-05-20T17:00:00+00:00,2025-04-07T18:48:19.391157+00:00,6847197,,,,,,,,,,,,False
7452,,expired,2025-04-16T17:00:00+00:00,2025-04-07T18:48:58.869953+00:00,6846993,,,,,,,,,,,,True
7453,,expired,2025-04-18T17:00:00+00:00,2025-04-07T18:51:08.830996+00:00,6847022,,,,,,,,,,,,True
7454,,expired,2025-04-18T17:00:00+00:00,2025-04-07T18:54:28.228411+00:00,6847101,,,,,,,,,,,,True
7455,,expired,2025-04-16T17:00:00+00:00,2025-04-07T18:59:42.281031+00:00,6847225,,,,,,,,,,,,True
7456,,expired,2025-04-24T17:00:00+00:00,2025-04-07T19:01:41.661297+00:00,6847255,,,,,,,,,,,,True
7457,,expired,2025-04-16T17:00:00+00:00,2025-04-07T19:03:29.690791+00:00,6859634,,,,,,,,,,,,True
7458,,expired,2025-04-16T17:00:00+00:00,2025-04-07T19:07:09.711971+00:00,6847395,,,,,,,,,,,,True
7458,,expired,2025-04-16T17:00:00+00:00,2025-04-07T19:07:09.711971+00:00,6847405,,,,,,,,,,,,True
7459,,expired,2025-04-25T17:00:00+00:00,2025-04-07T19:15:13.855288+00:00,6847587,,,,,,,,,,,,True
7460,,cancelled,2025-04-16T17:00:00+00:00,2025-04-07T19:17:46.776679+00:00,6847723,,,,,,,,,,,,True
7461,,expired,2025-04-11T15:17:51.264014+00:00,2025-04-08T15:17:51.276355+00:00,6855588,,,,,,,,,,,,False
7462,,expired,2025-05-10T17:00:00+00:00,2025-04-08T17:08:05.320815+00:00,6858069,,,,,,,,,,,,False
7463,,expired,2025-04-11T17:10:11.131203+00:00,2025-04-08T17:10:11.140699+00:00,6858128,,,,,,,,,,,,True
7464,,expired,2025-04-11T17:00:00+00:00,2025-04-08T17:13:30.870438+00:00,6858145,,,,,,,,,,,,False
7465,,trash,2025-04-10T17:00:00+00:00,2025-04-08T17:33:06.902093+00:00,6858512,,,,,,,,,,,,False
7466,,expired,2025-05-10T17:00:00+00:00,2025-04-08T17:37:23.317653+00:00,6858986,,,,,,,,,,,,False
