quote_number,item_id,workflow_status,part_number,revision,description,type,material,process,is_fully_configured,quantity,unit_price,total_price,total_price_with_add_ons,lead_time
7500,6897400,not_started,0041-63199,,,manufactured,,Historical Part Requote,False,1,45.70,45.70,45.70,50
7501,6897630,no_quote,512-012-001-101,A,YOKE ASSY - TAIL ROTOR,manufactured,,NQ - No Capacity,False,5,0.00,0.00,0.00,5
7502,6897653,no_quote,512-030-610-131,A,CLIP FWD LH - EXHAUST COWLING,manufactured,,,False,19,0.00,0.00,0.00,0
7503,6897929,not_started,512-034-730-139,-,Rib Leading Edge - Vertical Fin,manufactured,Aluminum 7050-T7451,MS - Mill,True,26,648.00,16848.00,17988.00,70
7505,6903800,no_quote,146W0265-1041,A,SPLICE CHORD - MACHINED,manufactured,,,False,1,0.00,0.00,0.00,0
7505,6903801,no_quote,MF831F1,,"ALUMINUM ALLOY, EXTRUDED SHAPE",manufactured,,,False,1,0.00,0.00,0.00,0
7505,6903802,no_quote,152W6592-1003,-,"INTERCOSTAL ASSEMBLY, CASTER TRAY SUPPORT, SECTION 46.",manufactured,,,False,1,0.00,0.00,0.00,0
7505,6903803,no_quote,152W6592-1001,-,"INTERCOSTAL DETAIL, CASTER TRAY SUPPORT, SECTION 46",manufactured,,,False,1,0.00,0.00,0.00,0
7505,6903804,no_quote,MY660F0,E,"ALUMINUM ALLOY, EXTRUDED SHAPE",manufactured,,,False,1,0.00,0.00,0.00,0
7505,6903805,no_quote,457W1010-132,B,FLOOR FITTING - MAIN DECK CARGO SYSTEM,manufactured,,,False,1,0.00,0.00,0.00,0
7505,6903806,no_quote,M0004663,B,"ALUMINUM ALLOY, EXTRUDED BAR",manufactured,,,False,1,0.00,0.00,0.00,0
7505,6903807,no_quote,MK284C,E,"ALUMINUM ALLOY, EXTRUDED BAR",manufactured,,,False,1,0.00,0.00,0.00,0
7505,6903808,no_quote,BACB30NN4K10,,"BOLT, 100 DEG HEAD",manufactured,,,False,4,0.00,0.00,0.00,0
7505,6903809,no_quote,BACN11Z4CD,,NUT,manufactured,,,False,4,0.00,0.00,0.00,0
7505,6903810,no_quote,BACW10BP4PK,,"WASHER, PLAIN",manufactured,,,False,4,0.00,0.00,0.00,0
