quote_number,item_id,workflow_status,part_number,revision,description,type,material,process,is_fully_configured,quantity,unit_price,total_price,total_price_with_add_ons,lead_time
5008,4014291,no_quote,512-044-500-101,-,NUT  HANGER ASSY,manufactured,,,False,4,0.00,0.00,0.00,0
5001,4005069,no_quote,50-6237-4014,H,"BALANCE WEIGHT,ELEVATOR",manufactured,,No Quote,False,3,0.00,0.00,0.00,5
5009,4014304,completed,901-005-666-101,A,COVER ASSY,manufactured,,,False,3,5676.00,17028.00,17028.00,80
5002,4004151,completed,901-075-820-106,H,CONDUIT,manufactured,Cast Aluminum,MS - Mill,True,5,2101.00,10505.00,10505.00,80
5000,4001882,completed,512-015-027-101,A,SPACER - MAIN ROTOR BLADE,manufactured,Aluminum 6061-T651,MS - Lathe,True,6,523.00,3138.00,4438.00,58
5003,4005228,completed,68A332486-5001,A,SKIN,manufactured,Aluminum 2124,MS - Mill,True,14,13200.00,184800.00,184800.00,114
5003,4005228,completed,68A332486-5001,A,SKIN,manufactured,Aluminum 2124,MS - Mill,True,23,12500.00,287500.00,287500.00,161
5003,4005228,completed,68A332486-5001,A,SKIN,manufactured,Aluminum 2124,MS - Mill,True,24,12500.00,300000.00,300000.00,166
5005,4008505,completed,5191388,H,BRACKET,manufactured,Aluminum 6061-T4,SM - Piece,True,1,3620.00,3620.00,4420.00,70
5005,4008505,completed,5191388,H,BRACKET,manufactured,Aluminum 6061-T4,SM - Piece,True,2,2040.00,4080.00,4880.00,70
5005,4008505,completed,5191388,H,BRACKET,manufactured,Aluminum 6061-T4,SM - Piece,True,5,1140.00,5700.00,6500.00,70
5005,4008505,completed,5191388,H,BRACKET,manufactured,Aluminum 6061-T4,SM - Piece,True,10,771.00,7710.00,8510.00,70
5005,4008505,completed,5191388,H,BRACKET,manufactured,Aluminum 6061-T4,SM - Piece,True,20,603.00,12060.00,12860.00,70
5005,4008505,completed,5191388,H,BRACKET,manufactured,Aluminum 6061-T4,SM - Piece,True,50,488.00,24400.00,25200.00,70
5012,4014996,no_quote,332D1801-27,F,BRACKET,manufactured,,,False,8,0.00,0.00,0.00,0
5011,4014919,not_started,74A880638-2017,M,PLATE,manufactured,,,False,35,0.00,0.00,0.00,0
5013,4015096,no_quote,74A110664-5030,R,RIB,manufactured,,,False,1,0.00,0.00,0.00,0
5010,4014808,completed,68A324974-2023,-,BRACKET,manufactured,,,False,50,0.00,0.00,0.00,0
