quote_number,item_id,workflow_status,part_number,revision,description,type,material,process,is_fully_configured,quantity,unit_price,total_price,total_price_with_add_ons,lead_time
6001,5126499,no_quote,15662050,J,ENDOTHERMIC HEAT SHIELD,manufactured,,,False,1,1211.00,1211.00,1211.00,450
6001,5126499,no_quote,15662050,J,ENDOTHERMIC HEAT SHIELD,manufactured,,,False,5,731.00,3655.00,3655.00,450
6001,5126499,no_quote,15662050,J,ENDOTHERMIC HEAT SHIELD,manufactured,,,False,10,699.00,6990.00,6990.00,450
6007,5127585,no_quote,ESW0010-58185A3,01,"ASSY, ENDURA SYSTEM AC BASIC w/corrected",assembled,,No Quote,False,1,0.00,0.00,0.00,5
6007,5127585,no_quote,ESW0010-58185A3,01,"ASSY, ENDURA SYSTEM AC BASIC w/corrected",assembled,,No Quote,False,5,0.00,0.00,0.00,5
6007,5127585,no_quote,ESW0010-58185A3,01,"ASSY, ENDURA SYSTEM AC BASIC w/corrected",assembled,,No Quote,False,10,0.00,0.00,0.00,5
6006,5127375,not_started,901-077-102-101,C,"BRACKET-ASSY
DISCONNECT RH
ASSY",manufactured,,,False,4,0.00,0.00,0.00,0
6011,5129149,completed,020-739727-000,6,"LATERAL, TOP,
FRAME, CABINET",manufactured,CRS,SM - Tube,True,96,23.23,2230.08,2230.08,8
6011,5129149,completed,020-739727-000,6,"LATERAL, TOP,
FRAME, CABINET",manufactured,CRS,SM - Tube,True,192,22.38,4296.96,4296.96,9
6011,5129149,completed,020-739727-000,6,"LATERAL, TOP,
FRAME, CABINET",manufactured,CRS,SM - Tube,True,288,22.10,6364.80,6364.80,10
6011,5129149,completed,020-739727-000,6,"LATERAL, TOP,
FRAME, CABINET",manufactured,CRS,SM - Tube,True,384,21.96,8432.64,8432.64,11
6011,5129150,completed,020-739727-002,6,"LAT, TOP, FRAME, CAB, 800W",manufactured,CRS,SM - Tube,True,96,23.23,2230.08,2230.08,8
6011,5129150,completed,020-739727-002,6,"LAT, TOP, FRAME, CAB, 800W",manufactured,CRS,SM - Tube,True,192,22.38,4296.96,4296.96,9
6011,5129150,completed,020-739727-002,6,"LAT, TOP, FRAME, CAB, 800W",manufactured,CRS,SM - Tube,True,288,22.10,6364.80,6364.80,10
6011,5129150,completed,020-739727-002,6,"LAT, TOP, FRAME, CAB, 800W",manufactured,CRS,SM - Tube,True,384,21.96,8432.64,8432.64,11
6004,5127119,completed,0042-97496,02,"CHAMBER BODY, DEGAS, KINEX",assembled,Aluminum 6061-T6,MS  - Assy,True,1,18200.00,18200.00,24100.00,49
6004,5127119,completed,0042-97496,02,"CHAMBER BODY, DEGAS, KINEX",assembled,Aluminum 6061-T6,MS  - Assy,True,2,12100.00,24200.00,30100.00,49
6004,5127119,completed,0042-97496,02,"CHAMBER BODY, DEGAS, KINEX",assembled,Aluminum 6061-T6,MS  - Assy,True,4,8940.00,35760.00,41660.00,51
6004,5127119,completed,0042-97496,02,"CHAMBER BODY, DEGAS, KINEX",assembled,Aluminum 6061-T6,MS  - Assy,True,6,7920.00,47520.00,53420.00,53
6004,5127119,completed,0042-97496,02,"CHAMBER BODY, DEGAS, KINEX",assembled,Aluminum 6061-T6,MS  - Assy,True,8,7410.00,59280.00,65180.00,55
6004,5127119,completed,0042-97496,02,"CHAMBER BODY, DEGAS, KINEX",assembled,Aluminum 6061-T6,MS  - Assy,True,10,7110.00,71100.00,77000.00,57
6008,5127913,no_quote,0040-35206,07,"DOOR, LOWER RIGHT",manufactured,,NQ - No Capacity,False,1,0.00,0.00,0.00,5
6008,5127913,no_quote,0040-35206,07,"DOOR, LOWER RIGHT",manufactured,,NQ - No Capacity,False,5,0.00,0.00,0.00,5
6008,5127913,no_quote,0040-35206,07,"DOOR, LOWER RIGHT",manufactured,,NQ - No Capacity,False,10,0.00,0.00,0.00,5
6003,5126742,completed,0011-04628,01,"ASSEMBLY GAS PANEL ENCLOSURE, NEW",assembled,Aluminum 6061-T6,SM - Assy,True,1,7300.00,7300.00,7300.00,37
6003,5126742,completed,0011-04628,01,"ASSEMBLY GAS PANEL ENCLOSURE, NEW",assembled,Aluminum 6061-T6,SM - Assy,True,14,7300.00,102200.00,102200.00,39
6002,5126534,no_quote,J15662233-10,C,"DDG HELICOPTER HANGAR DOOR
TOP HINGE COVER ASSEMBLY
(RCS FLAP)",manufactured,,NQ - No Capacity,False,4,0.00,0.00,0.00,5
6000,5126019,no_quote,901-032-710-105,D,FITTING ASSEMBLY,manufactured,,MS - Mill,False,75,11.67,875.25,875.25,7
6000,5126019,no_quote,901-032-710-105,D,FITTING ASSEMBLY,manufactured,,MS - Mill,False,95,10.94,1039.30,1039.30,8
