quote_number,item_id,workflow_status,part_number,revision,description,type,material,process,is_fully_configured,part_uuid,export_controlled,quantity,unit_price,total_price,total_price_with_add_ons,lead_time
7495,6896984,completed,0023-37287,03,"BRKT, MOUNTING, K1S SUBSTRATE, TRILLIUM2",manufactured,Stainless Steel 316L,SM - Piece,True,95869821-b40c-483f-b979-816f5f28d935,False,1,690.00,690.00,1290.00,44
7495,6896984,completed,0023-37287,03,"BRKT, MOUNTING, K1S SUBSTRATE, TRILLIUM2",manufactured,Stainless Steel 316L,SM - Piece,True,95869821-b40c-483f-b979-816f5f28d935,False,2,361.00,722.00,1322.00,44
7495,6896984,completed,0023-37287,03,"BRKT, MOUNTING, K1S SUBSTRATE, TRILLIUM2",manufactured,Stainless Steel 316L,SM - Piece,True,95869821-b40c-483f-b979-816f5f28d935,False,3,252.00,756.00,1356.00,44
7495,6896984,completed,0023-37287,03,"BRKT, MOUNTING, K1S SUBSTRATE, TRILLIUM2",manufactured,Stainless Steel 316L,SM - Piece,True,95869821-b40c-483f-b979-816f5f28d935,False,5,164.00,820.00,1420.00,44
7495,6896984,completed,0023-37287,03,"BRKT, MOUNTING, K1S SUBSTRATE, TRILLIUM2",manufactured,Stainless Steel 316L,SM - Piece,True,95869821-b40c-483f-b979-816f5f28d935,False,10,98.00,980.00,1580.00,44
7495,6896984,completed,0023-37287,03,"BRKT, MOUNTING, K1S SUBSTRATE, TRILLIUM2",manufactured,Stainless Steel 316L,SM - Piece,True,95869821-b40c-483f-b979-816f5f28d935,False,25,58.52,1463.00,2063.00,44
7495,6896984,completed,0023-37287,03,"BRKT, MOUNTING, K1S SUBSTRATE, TRILLIUM2",manufactured,Stainless Steel 316L,SM - Piece,True,95869821-b40c-483f-b979-816f5f28d935,False,50,45.34,2267.00,2267.00,45
7495,6896984,completed,0023-37287,03,"BRKT, MOUNTING, K1S SUBSTRATE, TRILLIUM2",manufactured,Stainless Steel 316L,SM - Piece,True,95869821-b40c-483f-b979-816f5f28d935,False,100,39.09,3909.00,3909.00,46
7495,6896985,completed,0023-37288,03,"BRKT, MOUNTING, K1S SUBSTRATE, TRILLIUM2",manufactured,Stainless Steel 316L,SM - Piece,True,151286ef-fa8b-44ab-ab45-735b248c57d4,False,1,690.00,690.00,1290.00,44
7495,6896985,completed,0023-37288,03,"BRKT, MOUNTING, K1S SUBSTRATE, TRILLIUM2",manufactured,Stainless Steel 316L,SM - Piece,True,151286ef-fa8b-44ab-ab45-735b248c57d4,False,2,361.00,722.00,1322.00,44
