quote_number,item_id,workflow_status,part_number,revision,description,type,material,process,is_fully_configured,quantity,unit_price,total_price,total_price_with_add_ons,lead_time
6500,5593108,no_quote,30-2143,-,"SHIM - SCREW UNIT, W.F.D.",manufactured,,,False,46,0.00,0.00,0.00,0
6501,5593526,completed,BB1K0006A,E,P-MOTOR PINION,manufactured,,,False,2100,68.78,144438.00,144438.00,60
6501,5593533,completed,BB1K0007A,G,MOTOR SHAFT,manufactured,,,False,4200,79.57,334194.00,334194.00,70
6501,5593534,completed,BB1K0018A,C,YAW PINION,manufactured,,,False,2100,51.81,108801.00,108801.00,70
6501,5593536,completed,BB1K0021A,G,Y-MOTOR HOUSE,manufactured,,,False,2100,338.00,709800.00,709800.00,70
6511,5595861,completed,901-075-653-101,B,COVER PLATE,manufactured,,,False,1,1807.00,1807.00,1807.00,40
6511,5595861,completed,901-075-653-101,B,COVER PLATE,manufactured,,,False,3,636.00,1908.00,1908.00,40
6511,5595861,completed,901-075-653-101,B,COVER PLATE,manufactured,,,False,7,303.00,2121.00,2121.00,40
6511,5595861,completed,901-075-653-101,B,COVER PLATE,manufactured,,,False,13,195.00,2535.00,2535.00,40
6511,5595862,completed,901-375-662-101,B,CHASSIS ASSY,manufactured,,,False,1,3445.00,3445.00,3445.00,60
6511,5595862,completed,901-375-662-101,B,CHASSIS ASSY,manufactured,,,False,3,1294.00,3882.00,3882.00,60
6511,5595862,completed,901-375-662-101,B,CHASSIS ASSY,manufactured,,,False,7,741.00,5187.00,5187.00,60
6511,5595862,completed,901-375-662-101,B,CHASSIS ASSY,manufactured,,,False,13,462.00,6006.00,6006.00,60
6509,5595776,no_quote,0021-10696,A,"CLIP,PYROMETER",manufactured,,No Quote,False,1,0.00,0.00,0.00,5
6509,5595776,no_quote,0021-10696,A,"CLIP,PYROMETER",manufactured,,No Quote,False,5,0.00,0.00,0.00,5
6509,5595776,no_quote,0021-10696,A,"CLIP,PYROMETER",manufactured,,No Quote,False,10,0.00,0.00,0.00,5
6506,5717630,completed,0020-86513,04,"NUT, RF, FEEDTHRU BRASS, 300 MM ENCORE TA(N)",manufactured,Brass 360,MS - Mill,True,1,919.00,919.00,2219.00,72
6506,5717630,completed,0020-86513,04,"NUT, RF, FEEDTHRU BRASS, 300 MM ENCORE TA(N)",manufactured,Brass 360,MS - Mill,True,5,216.00,1080.00,2380.00,72
6506,5717630,completed,0020-86513,04,"NUT, RF, FEEDTHRU BRASS, 300 MM ENCORE TA(N)",manufactured,Brass 360,MS - Mill,True,10,130.00,1300.00,2600.00,72
6505,5594918,completed,0023-26891,03,"SUPPLY VALVE BRACKET, 1/2 MNL VALVE, HX",manufactured,Stainless Steel 304L,SM - Piece,True,1,541.00,541.00,1141.00,68
6505,5594918,completed,0023-26891,03,"SUPPLY VALVE BRACKET, 1/2 MNL VALVE, HX",manufactured,Stainless Steel 304L,SM - Piece,True,5,118.00,590.00,1190.00,68
6505,5594918,completed,0023-26891,03,"SUPPLY VALVE BRACKET, 1/2 MNL VALVE, HX",manufactured,Stainless Steel 304L,SM - Piece,True,10,64.40,644.00,1244.00,68
6505,5594918,completed,0023-26891,03,"SUPPLY VALVE BRACKET, 1/2 MNL VALVE, HX",manufactured,Stainless Steel 304L,SM - Piece,True,15,46.73,700.95,1300.95,68
6505,5594918,completed,0023-26891,03,"SUPPLY VALVE BRACKET, 1/2 MNL VALVE, HX",manufactured,Stainless Steel 304L,SM - Piece,True,20,37.90,758.00,1358.00,68
6505,5594919,completed,0023-26892,02,"RETURN VALVE BRACKET, 1/2 MNL VALVE, HX",manufactured,Stainless Steel 304L,SM - Piece,True,1,550.00,550.00,1150.00,68
6505,5594919,completed,0023-26892,02,"RETURN VALVE BRACKET, 1/2 MNL VALVE, HX",manufactured,Stainless Steel 304L,SM - Piece,True,5,119.00,595.00,1195.00,68
6505,5594919,completed,0023-26892,02,"RETURN VALVE BRACKET, 1/2 MNL VALVE, HX",manufactured,Stainless Steel 304L,SM - Piece,True,10,64.50,645.00,1245.00,68
6505,5594919,completed,0023-26892,02,"RETURN VALVE BRACKET, 1/2 MNL VALVE, HX",manufactured,Stainless Steel 304L,SM - Piece,True,15,46.47,697.05,1297.05,68
6505,5594919,completed,0023-26892,02,"RETURN VALVE BRACKET, 1/2 MNL VALVE, HX",manufactured,Stainless Steel 304L,SM - Piece,True,20,37.45,749.00,1349.00,68
6504,5594517,completed,0020-20119,02,PAD DC BIAS,manufactured,Stainless Steel 316L,SM - Piece,True,1,16.67,16.67,16.67,15
6504,5594517,completed,0020-20119,02,PAD DC BIAS,manufactured,Stainless Steel 316L,SM - Piece,True,15,16.67,250.05,250.05,15
6504,5594517,completed,0020-20119,02,PAD DC BIAS,manufactured,Stainless Steel 316L,SM - Piece,True,152,16.67,2533.84,2533.84,15
6510,5595837,completed,449-005-128-101,A,"ASSY, PANEL",manufactured,,,False,1,1021.00,1021.00,1021.00,60
6510,5595837,completed,449-005-128-101,A,"ASSY, PANEL",manufactured,,,False,5,278.00,1390.00,1390.00,60
6510,5595837,completed,449-005-128-101,A,"ASSY, PANEL",manufactured,,,False,10,189.00,1890.00,1890.00,60
6510,5595837,completed,449-005-128-101,A,"ASSY, PANEL",manufactured,,,False,25,133.00,3325.00,3325.00,60
6507,5595052,completed,0023-33124,01,"BRCKET, RAIL MOUNT SUPPORT",manufactured,HRS,SM - Piece,True,1,577.00,577.00,1177.00,73
6507,5595052,completed,0023-33124,01,"BRCKET, RAIL MOUNT SUPPORT",manufactured,HRS,SM - Piece,True,5,127.00,635.00,1235.00,73
6507,5595052,completed,0023-33124,01,"BRCKET, RAIL MOUNT SUPPORT",manufactured,HRS,SM - Piece,True,10,70.40,704.00,1304.00,73
6507,5595053,completed,0023-33125,01,"BRACKET, DRIP TARY PULSER GEN AND RAIL M",manufactured,HRS,SM - Piece,True,1,582.00,582.00,1182.00,73
6507,5595053,completed,0023-33125,01,"BRACKET, DRIP TARY PULSER GEN AND RAIL M",manufactured,HRS,SM - Piece,True,5,130.00,650.00,1250.00,73
6507,5595053,completed,0023-33125,01,"BRACKET, DRIP TARY PULSER GEN AND RAIL M",manufactured,HRS,SM - Piece,True,10,73.30,733.00,1333.00,73
6516,5597293,completed,901-075-653-101,A,COVER PLATE,manufactured,,,False,2,938.00,1876.00,1876.00,40
6516,5597293,completed,901-075-653-101,A,COVER PLATE,manufactured,,,False,6,345.00,2070.00,2070.00,40
6516,5597295,completed,901-375-662-104,B,CHASSIS ASSY RH,manufactured,,,False,2,1817.00,3634.00,3634.00,60
6516,5597295,completed,901-375-662-104,B,CHASSIS ASSY RH,manufactured,,,False,6,832.00,4992.00,4992.00,60
6502,5594006,completed,0040-51512,05,"BRACKET, LIFT MOUNT, XP W/LCF",manufactured,Aluminum 6061-T6,MS - Mill,True,5,809.00,4045.00,6145.00,59
6502,5594006,completed,0040-51512,05,"BRACKET, LIFT MOUNT, XP W/LCF",manufactured,Aluminum 6061-T6,MS - Mill,True,10,658.00,6580.00,8680.00,60
6502,5594006,completed,0040-51512,05,"BRACKET, LIFT MOUNT, XP W/LCF",manufactured,Aluminum 6061-T6,MS - Mill,True,25,567.00,14175.00,16275.00,63
6502,5594006,completed,0040-51512,05,"BRACKET, LIFT MOUNT, XP W/LCF",manufactured,Aluminum 6061-T6,MS - Mill,True,50,537.00,26850.00,26850.00,69
6502,5594007,completed,0020-29819,04,"HARD STOP, LIFT",manufactured,Stainless Steel 303,MS - Mill,True,5,487.00,2435.00,3235.00,54
6502,5594007,completed,0020-29819,04,"HARD STOP, LIFT",manufactured,Stainless Steel 303,MS - Mill,True,10,368.00,3680.00,4480.00,55
6502,5594007,completed,0020-29819,04,"HARD STOP, LIFT",manufactured,Stainless Steel 303,MS - Mill,True,25,303.00,7575.00,8375.00,58
6502,5594007,completed,0020-29819,04,"HARD STOP, LIFT",manufactured,Stainless Steel 303,MS - Mill,True,50,281.00,14050.00,14050.00,63
6502,5594008,completed,0020-29822,06,"PIVOT MOUNT, LOWER, LIFT",manufactured,Stainless Steel 303,MS - Mill,True,5,1080.00,5400.00,6500.00,56
6502,5594008,completed,0020-29822,06,"PIVOT MOUNT, LOWER, LIFT",manufactured,Stainless Steel 303,MS - Mill,True,10,855.00,8550.00,9650.00,58
6502,5594008,completed,0020-29822,06,"PIVOT MOUNT, LOWER, LIFT",manufactured,Stainless Steel 303,MS - Mill,True,25,728.00,18200.00,19300.00,65
6502,5594008,completed,0020-29822,06,"PIVOT MOUNT, LOWER, LIFT",manufactured,Stainless Steel 303,MS - Mill,True,50,686.00,34300.00,34300.00,76
6502,5804651,completed,0040-23342,03,FORCE CLAMP UPPER MOUNT,manufactured,Stainless Steel 303,MS - Mill,True,5,436.00,2180.00,3280.00,56
6502,5804651,completed,0040-23342,03,FORCE CLAMP UPPER MOUNT,manufactured,Stainless Steel 303,MS - Mill,True,10,292.00,2920.00,4020.00,56
6502,5804651,completed,0040-23342,03,FORCE CLAMP UPPER MOUNT,manufactured,Stainless Steel 303,MS - Mill,True,25,207.00,5175.00,6275.00,58
6502,5804651,completed,0040-23342,03,FORCE CLAMP UPPER MOUNT,manufactured,Stainless Steel 303,MS - Mill,True,50,180.00,9000.00,9000.00,60
6502,5804969,completed,0040-47825,09,HT SWLL HOOP,manufactured,Stainless Steel 316L,MS - Mill,True,5,1770.00,8850.00,11950.00,71
6502,5804969,completed,0040-47825,09,HT SWLL HOOP,manufactured,Stainless Steel 316L,MS - Mill,True,10,1520.00,15200.00,18300.00,74
6502,5804969,completed,0040-47825,09,HT SWLL HOOP,manufactured,Stainless Steel 316L,MS - Mill,True,25,1370.00,34250.00,37350.00,82
6502,5804969,completed,0040-47825,09,HT SWLL HOOP,manufactured,Stainless Steel 316L,MS - Mill,True,50,1320.00,66000.00,66000.00,95
6502,5808341,completed,0040-52072,04,HINGE BRACKET UNIVERSL LID 30 MM ENDURA,manufactured,Aluminum 6061-T6,MS - Mill,True,5,2130.00,10650.00,12150.00,66
6502,5808341,completed,0040-52072,04,HINGE BRACKET UNIVERSL LID 30 MM ENDURA,manufactured,Aluminum 6061-T6,MS - Mill,True,10,1760.00,17600.00,19100.00,69
